Liverpool,1,54,16,6,2,55,23,32
Mancity,2,52,16,4,3,56,25,31
Arsenal,3,52,16,4,4,53,22,31
Astonvilla,5,46,14,4,6,50,32,18
Tottenham,4,47,14,5,5,51,36,15
Manutd,6,41,13,2,9,33,33,0
Westham,8,36,10,6,8,36,42,-6
Brighton,9,35,9,8,7,43,40,3
Newcastle,7,36,11,3,10,51,39,12
Wolverhampton,10,32,9,5,10,37,39,-2
Chelsea,11,31,9,4,10,38,39,-1
Bournemouth,13,27,7,6,10,31,44,-13
Fulham,12,29,8,5,11,33,39,-6
Crystalpalace,15,24,6,6,11,26,40,-14
Brentford,14,25,7,4,12,34,39,-5
Nottmforest,16,21,5,6,13,30,44,-14
Lutontown,17,20,5,5,13,33,45,-12
Everton,18,19,8,5,11,26,32,-6
Burnley,19,13,3,4,17,25,50,-25
Sheffield,20,13,3,4,17,22,60,-38
